Id,C_Dealer,C_Freight,C_Volume,C_BaseBoat,C_Engine,C_Series,C_Options,C_Prep,C_DealerName,C_DealerId,C_Enabled
65dd0264-29e1-4fbe-9262-b2c300fd837b,d918bbbc-6f59-4b2d-975d-b249015424ef,1000,37,37,37,L,37,1000,ADVENTURE MARINE INC,10200,false
b9214137-e2cb-40ae-86bc-b2c300fd837c,e152f21e-eaa8-4198-845b-b2490154254b,1000,37,37,37,L,37,1000,EAST SIDE MARINE****,101840,false
de59f987-659c-4b87-8e72-b2c300fd837d,d9b8ddc4-fca3-4988-905d-b24901542581,1000,37,37,37,L,37,1000,EAST SIDE MARINE,101845,false
0f1a9a12-1a60-427e-a9c0-b2c300fd8382,18bef3f3-6013-4610-99b0-b249015425af,1000,37,37,37,L,37,1000,AERO MARINE,10250,false
60e3b18e-022c-475e-af70-b2c300fd8382,de1db54e-0b6c-4555-9b42-b249015425e6,1000,37,37,37,L,37,1000,ALABAMA MARINE LIQUIDATORS INC,10500,false
208087b8-38ff-44ec-806a-b2c300fd8383,37e7866e-446d-46dc-995f-b24901542611,1000,37,37,37,L,37,1000,AFFORDABLE BOAT BROKERAGE LLC,10300,false
372ffa73-03bc-4384-8385-b2c300fd8383,fafc950e-e940-4b11-98bf-b24901542635,1000,37,37,37,L,37,1000,ALL AMERICAN MARINE** DO NOT SHIP EVER**,10609,false
a6d92e7e-bf30-4289-8b0c-b2c300fd8384,821f9276-1db4-4e3b-b75b-b2490154265b,1000,37,37,37,L,37,1000,EATON FERRY SALES & SERVICE INC,102000,false
eb23d815-27b3-4794-9c43-b2c300fd8384,4f53490d-8b41-48c9-b67b-b24901542709,1000,37,37,37,L,37,1000,ALL ABOUT WATER * DO NOT EVER SHIP *,11044,false
451fe9f7-dbd9-4508-af48-b2c300fd8384,28f8452b-2a20-4e2d-ad86-b24901542684,1000,37,37,37,L,37,1000,VWNR INC dba VALLEY WIDE MARINE REPAIR,110100,false
1e85879c-0595-4ec1-a73f-b2c300fd8385,a118d8a8-5751-44fd-89cb-b2490154275d,1000,37,37,37,L,37,1000,ABBOTT MARINE,1100,false
399cb7c8-c55f-44d4-bcce-b2c300fd8385,f519c42e-6949-4d82-96c8-b24901542730,1000,37,37,37,L,37,1000,ALL ABOUT BOATS,11000,false
11e0e98f-a0fe-439b-a9ae-b2c300fd8386,a63c5a17-9cde-4c2e-a99f-b249015427ae,1000,37,37,37,L,37,1000,VALLEY MARINE,110000,false
18e6667d-bc7c-4d68-b733-b2c300fd8386,ee0ca9d6-9f63-4f57-8c7d-b2490154278b,1000,37,37,37,L,37,1000,EXPO NORTH,123330,false
