DealerID,Dealership,Q_BASE_BOAT,Q_ENGINE,Q_OPTIONS,Q_FREIGHT,Q_PREP,Q_VOL_DISC,QX_BASE_BOAT,QX_ENGINE,QX_OPTIONS,QX_FREIGHT,QX_PREP,QX_VOL_DISC,QXS_BASE_BOAT,QXS_ENGINE,QXS_OPTIONS,QXS_FREIGHT,QXS_PREP,QXS_VOL_DISC,R_BASE_BOAT,R_ENGINE,R_OPTIONS,R_FREIGHT,R_PREP,R_VOL_DISC,RX_BASE_BOAT,RX_ENGINE,RX_OPTIONS,RX_FREIGHT,RX_PREP,RX_VOL_DISC,RT_BASE_BOAT,RT_ENGINE,RT_OPTIONS,RT_FREIGHT,RT_PREP,RT_VOL_DISC,G_BASE_BOAT,G_ENGINE,G_OPTIONS,G_FREIGHT,G_PREP,G_VOL_DISC,S_BASE_BOAT,S_ENGINE,S_OPTIONS,S_FREIGHT,S_PREP,S_VOL_DISC,SX_BASE_BOAT,SX_ENGINE,SX_OPTIONS,SX_FREIGHT,SX_PREP,SX_VOL_DISC,L_BASE_BOAT,L_ENGINE,L_OPTIONS,L_FREIGHT,L_PREP,L_VOL_DISC,LX_BASE_BOAT,LX_ENGINE,LX_OPTIONS,LX_FREIGHT,LX_PREP,LX_VOL_DISC,LT_BASE_BOAT,LT_ENGINE,LT_OPTIONS,LT_FREIGHT,LT_PREP,LT_VOL_DISC,S_23_BASE_BOAT,S_23_ENGINE,S_23_OPTIONS,S_23_FREIGHT,S_23_PREP,S_23_VOL_DISC,SV_23_BASE_BOAT,SV_23_ENGINE,SV_23_OPTIONS,SV_23_FREIGHT,SV_23_PREP,SV_23_VOL_DISC,M_BASE_BOAT,M_ENGINE,M_OPTIONS,M_FREIGHT,M_PREP,M_VOL_DISC
165176,**DO NOT USE GORDON'S MARINE USE #301759,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.0,750.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,750,750,0,0.0,0.0,0.0,0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
95300,1220457 ONTARIO LTD dba DT POWERSPORTS,20.0,20.0,20,995,495,0,20.0,20.0,20.0,995,495,0,20.0,20.0,20.0,995,495,0,20,20,20,995,495,0,20,20,20,995,495,0,20,20,20,995,495,0,20,20,20,995.0,495.0,0.0,18.0,18.0,20.0,995,495.0,0.0,18.0,18.0,20.0,995,495.0,0.0,18.0,18.0,20.0,995,495,0.0,20,20,20,995,495,0,18.0,18.0,20.0,995,495.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
487652,31-E MARINE INC,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,18.0,18.0,18.0,0,0.0,10.0,18.0,18.0,18.0,0,0.0,10.0,18.0,18.0,18.0,0,0,10.0,0,0,0,0,0,0,18.0,18.0,18.0,0,0.0,10.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
450900,61 MARINE AND SPORTS NORTH,20.0,20.0,25,750,750,10,20.0,20.0,25.0,750,750,10,20.0,20.0,25.0,750,750,10,20,20,25,750,750,10,20,20,25,750,750,10,20,20,25,750,750,10,20,20,25,750.0,750.0,10.0,20.0,20.0,20.0,750,750.0,10.0,20.0,20.0,20.0,750,750.0,10.0,20.0,20.0,20.0,750,750,10.0,20,20,25,750,750,10,20.0,20.0,20.0,750,750.0,10.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
13008,AMERICAN IDEAS,15.0,15.0,15,900,0,0,15.0,15.0,15.0,900,0,0,15.0,15.0,15.0,900,0,0,15,15,15,900,0,0,15,15,15,900,0,0,15,15,15,900,0,0,15,15,15,900.0,0.0,0.0,15.0,15.0,15.0,900,0.0,0.0,15.0,15.0,15.0,900,0.0,0.0,15.0,15.0,15.0,900,0,0.0,15,15,15,900,0,0,15.0,15.0,15.0,900,0.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
65400,AQUAKNOX MARINE LLC,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,17,17,17,0,0,0,17,17,17,0,0,0,17,17,17,0,0,0,20,20,20,0.0,0.0,0.0,18.0,18.0,18.0,0,0.0,0.0,18.0,18.0,18.0,0,0.0,0.0,18.0,18.0,18.0,0,0,0.0,20,20,20,0,0,0,18.0,18.0,18.0,0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
465472,ATWOOD LAKE BOATS INC,30.0,30.0,30,340,0,0,30.0,30.0,30.0,340,0,0,30.0,30.0,30.0,340,0,0,30,30,30,340,0,0,30,30,30,340,0,0,30,30,30,340,0,0,30,30,30,340.0,0.0,0.0,30.0,30.0,30.0,340,0.0,0.0,30.0,30.0,30.0,340,0.0,0.0,30.0,30.0,30.0,340,0,0.0,30,30,30,340,0,0,30.0,30.0,30.0,340,0.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
392000,"AUTO PARTS POWER SPORTS, INC.",10.0,10.0,10,0,0,10,10.0,10.0,10.0,0,0,10,10.0,10.0,10.0,0,0,10,10,10,10,0,0,10,10,10,10,0,0,10,10,10,10,0,0,10,10,10,10,0.0,0.0,10.0,10.0,10.0,11.0,0,0.0,10.0,10.0,10.0,11.0,0,0.0,10.0,10.0,10.0,11.0,0,0,10.0,10,10,10,0,0,10,10.0,10.0,11.0,0,0.0,10.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
3200,AWS BOATS,24.0,24.0,24,1950,995,0,24.0,24.0,24.0,1950,995,0,24.0,24.0,24.0,1950,995,0,24,24,24,1950,995,0,24,24,24,1950,995,0,24,24,24,1950,995,0,24,24,24,1650.0,795.0,0.0,22.0,22.0,22.0,1650,795.0,0.0,22.0,22.0,22.0,1650,795.0,0.0,22.0,22.0,22.0,1650,795,0.0,24,24,24,1650,795,0,22.0,22.0,22.0,1650,795.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
29000,"BDM MARINE, INC.",22.0,20.0,20,800,700,8,22.0,20.0,20.0,800,700,8,22.0,20.0,20.0,800,700,8,22,20,20,800,700,8,22,20,20,800,700,8,22,20,20,800,700,8,20,20,20,800.0,700.0,8.0,18.0,20.0,20.0,800,700.0,8.0,18.0,20.0,20.0,800,700.0,8.0,18.0,20.0,20.0,800,700,8.0,20,20,20,800,700,8,18.0,20.0,20.0,800,700.0,8.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
