model_id,series,parent_series,msrp,floorplan,floorplan_desc,length,seats,visible
20SF,S,S,24739,F,Fishing,20,11,True
26MFBTD,M,M,999999,FBTD,Fastback with Top-Deck,26,16,False
25RSBWAX1,R,R,82524,SBWAX1,10' Wide Swingback with Windshield and Arch,25,14,True
24RTSB,RT,R,78664,SB,Swingback,24,14,True
25QFBU,Q,Q,82680,FB,Fastback,25,16,True
23RXSBU,RX,R,35666,SB,Swingback,23,15,True
23QXFB,QX,Q,93969,FB,Fastback,23,14,True
25RSBAU,R,R,103036,SBA,Swingback with Arch,25,15,True
28QXFBWAX1,QX,Q,148866,FBWAX1,10' Wide Fastback with Windshield and Arch,28,18,True
26MSB,M,M,999999,SB,Swingback,26,15,True
27QXSBWAX2,QX,Q,99586,SBWAX2,10' Wide Swingback with Windshield and Arch,27,14,True
27QXFBWAT2,QX,Q,146645,FBWAT2,Fastback with Windshield and Arch,27,15,True
24MSB,M,M,999999,SB,Swingback,24,14,True
24RTFBC,RT,R,74213,FBC,Fastback Center-Walkthrough,24,15,True
168SF,S,S,17628,F,Fishing,16,9,True
21MSL,M,M,999999,SL,Stern Lounge,21,15,False
23M1SB,M1,M,999999,SB,Swingback,23,12,True
27QXFBCT2,QX,Q,117689,FBCT2,Fastback Center Walkthrough,27,18,True
25QSBWU,Q,Q,95143,SBW,Swingback with Windshield,25,17,True
28QXSBAX1U,QX,Q,106071,SBAX1,10' Wide Swingback with Arch,28,18,True
25QXFBA,QX,Q,100650,FBA,Fastback with Arch,25,15,True
22SSR,S,S,25531,SR,Quad Bench Stern Radius,22,14,True
23RCWA,R,R,60690,CWA,Center-Walkthrough with Arch,23,16,False
25RFBWAU,R,R,61415,FBWA,Fastback with Windshield and Arch,25,17,True
25QFBWA,Q,Q,82680,FBWA,Fastback with Windshield and Arch,25,16,True
25RSRX1,R,R,89811,SRX1,10' Wide Stern Radius Quad Bench,25,19,True
25QXSBWU,QX,Q,115926,SBW,Swingback with Windshield,25,14,True
23RSRA,R,R,53502,SRA,Quad Bench Stern Radius with Arch,23,15,True
26LXSSBA,LXS,L,59914,SBA,Swingback with Arch,26,15,True
21SLJ,S,S,24229,LJ,J-Bench,21,13,True
27QSBT2,Q,Q,94692,SBT2,Swingback,27,15,True
188SLU,S,S,20012,L,L-Bench,18,13,True
25RXFBWA,RX,R,92652,FBWA,Fastback with Windshield and Arch,25,17,True
25QCWA,Q,Q,81053,CWA,Center-Walkthrough with Arch,25,0,False
26MCSB,M,M,43071,CSB,Center Swingback,26,15,True
23LTSBA,LT,L,56960,SBA,Swingback with Arch,23,13,True
27QXFBWAX2,QX,Q,141878,FBWAX2,10' Wide Fastback with Windshield and Arch,27,15,True
21ML,M,M,999999,L,L-Bench,21,15,True
23RXFBAU,RX,R,75340,FBA,Fastback with Arch,23,15,True
27QXSBT2,QX,Q,117361,SBT2,Swingback,27,15,True
24LXSFBA,LXS,L,47504,FBA,Fastback with Arch,24,13,True
24LXSFB,LXS,L,49046,FB,Fastback,24,15,True
21SSB,S,S,27470,SB,Swingback,21,14,True
22SSB,S,S,28570,SB,Swingback,22,14,True
25RTSBA,RT,R,75340,SBA,Swingback with Arch,25,16,True
25RTFBC,RT,R,76466,FBC,Fastback Center-Walkthrough,25,17,True
23MFBU,M,M,999999,FB,Fastback,23,13,True
23RFB,R,R,66678,FB,Fastback,23,17,True
25QFBAU,Q,Q,73211,FBA,Fastback with Arch,25,16,True
27RXFBWAT2,RX,R,91484,FBWAT2,Fastback with Windshield and Arch,27,17,True
30RSRAX2,R,R,73818,SRAX2,Stern Radius Quad Bench with Arch,30,20,True
26MSL,M,M,46760,SL,Stern Lounge,26,19,True
27RSBWAT2,R,R,91408,SBWAT2,Swingback with Windshield and Arch,27,15,True
22RTFB,RT,R,78489,FB,Fastback,22,13,True
188SFU,S,S,20514,F,Fishing,18,11,True
23SLJ,S,S,25983,LJ,J-Bench,23,14,True
24ML,M,M,999999,L,L-Bench,24,17,True
25QSBA,Q,Q,75945,SBA,Swingback with Arch,25,17,True
25QXFBWA,QX,Q,103726,FBWA,Fastback with Windshield and Arch,25,15,True
22SFC,S,S,27769,FC,Fish & Cruse,22,15,True
23SFC,S,S,29667,FC,Fish & Cruse,23,16,True
24QSBWA,Q,Q,70866,SBWA,Swingback with Windshield and Arch,24,0,False
27QSBAX2,Q,Q,82772,SBAX2,10' Wide Fastback with Arch,27,15,True
22SSRU,S,S,25531,SR,Quad Bench Stern Radius,22,14,True
22MFC,M,M,999999,FC,Fish & Cruse,22,14,True
25QCWWA,Q,Q,73211,CWWA,Center Walkthrough with Windshield and Arch,25,0,False
28QXFBA,QX,Q,144895,FBA,Fastback with Arch,28,17,True
28QXFBAX1U,QX,Q,109088,FBAX1,10' Wide Fastback with Arch,28,18,True
23QCW,Q,Q,68821,CW,Center-Walkthrough,23,0,False
22SL,S,S,24329,L,L-Bench,22,14,True
25RSBU,R,R,73349,SB,Swingback,25,17,True
25SL,S,S,30559,L,L-Bench,25,15,True
25QXFB,QX,Q,100650,FB,Fastback,25,15,True
23RXFBA,RX,R,81143,FBA,Fastback with Arch,23,15,True
27RXFBCT2,RX,R,107558,FBCT2,Fastback Center Walkthrough,27,19,True
28RCW,R,R,103366,CW,Center-Walkthrough,28,19,False
25SQC,S,S,37607,QC,Quad Chair,25,17,True
21SF,S,S,25389,F,Fishing,21,12,True
25QXSBX1,QX,Q,143188,SBX1,10' Wide Swingback,25,17,True
25QXSBWA,QX,Q,100505,SBWA,Swingback with Windshield and Arch,25,14,True
188SFC,S,S,21268,FC,Fish & Cruse,18,11,True
27RXSBWAT2,RX,R,67038,SBWAT2,Swingback with Windshield and Arch,27,15,True
23RXSBA,RX,R,79777,SBA,Swingback with Arch,23,15,True
21SSR,S,S,24431,SR,Quad Bench Stern Radius,21,15,True
28QXSBWAX1U,QX,Q,149191,SBWAX1,10' Wide Swingback with Windshield and Arch,28,14,True
25RSR,R,R,66515,SR,Quad Bench Stern Radius,25,17,True
28QXSBWA,QX,Q,147009,SBWA,Swingback with Windshield and Arch,28,16,True
27QFBAX2,Q,Q,97061,FBAX2,10' Wide Fastback with Arch,27,16,True
24LXSSBA,LXS,L,49849,SBA,Swingback with Arch,24,13,True
25SF,S,S,34750,F,Fishing,25,13,True
22SLU,S,S,24329,L,L-Bench,22,14,True
25QXSBWAU,QX,Q,92739,SBWA,Swingback with Windshield and Arch,25,14,True
25QFBX1,Q,Q,68259,FBX1,10' Wide Fastback,25,17,True
25QSBX1,Q,Q,65436,SBX1,10' Wide Swingback,25,17,True
24RTSBA,RT,R,80681,SBA,Swingback with Arch,24,14,True
27QSBWAT2,Q,Q,138884,SBWAT2,Swingback with Windshield and Arch,27,13,True
30QSBAX2,Q,Q,126238,SBAX2,10' Wide Fastback with Arch,30,18,True
23MSL,M,M,999999,SL,Stern Lounge,23,16,True
27RSBT2,R,R,86227,SBT2,Swingback,27,17,True
22ML,M,M,999999,L,L-Bench,22,15,True
22MFB,M,M,35548,FB,Fastback,22,13,True
28QXSBAX1,QX,Q,143363,SBAX1,10' Wide Swingback with Arch,28,18,True
25SLJ,S,S,31559,LJ,J-Bench,25,15,True
23MOFB,M,M,999999,OFB,Open Fastback,23,14,True
23RXSBAU,RX,R,73715,SBA,Swingback with Arch,23,15,True
20S1F,S1,S,24739,F,Fishing,20,11,True
30QXSBAX2,QX,Q,150874,SBAX2,10' Wide Fastback with Arch,30,19,True
25RXFBU,RX,R,88464,FB,Fastback,25,17,True
25SSR,S,S,33287,SR,Quad Bench Stern Radius,25,17,True
20SSR,S,S,23781,SR,Quad Bench Stern Radius,20,14,True
25RSB,R,R,68366,SB,Swingback,25,17,True
21MFB,M,M,999999,FB,Fastback,21,14,True
20SSB,S,S,26820,SB,Swingback,20,14,True
25QXFBAU,QX,Q,93369,FBA,Fastback with Arch,25,15,True
23M1FB,M1,M,999999,FB,Fastback,23,13,True
23QXSB,QX,Q,93005,SB,Swingback,23,13,True
25RSBAX1,R,R,61415,SBAX1,10' Wide Swingback with Arch,25,18,True
20SLU,S,S,22579,L,L-Bench,20,13,True
23RXSB,RX,R,79777,SB,Swingback,23,15,True
23MFB,M,M,999999,FB,Fastback,23,13,True
25RFBA,R,R,72391,FBA,Fastback with Arch,25,17,True
22S1SR,S1,S,25531,SR,Quad Bench Stern Radius,22,14,True
27RXSBT2,RX,R,102281,SBT2,Swingback,27,17,True
24LXSSB,LXS,L,52763,SB,Swingback,24,12,True
24RTFB,RT,R,82924,FB,Fastback,24,15,True
30RSBAX2,R,R,111323,SBAX2,10' Wide Fastback with Arch,30,17,True
28RSRX1,R,R,100220,SRX1,10' Wide Stern Radius Quad Bench,28,20,False
25RSBX1,R,R,59440,SBX1,10' Wide Swingback,25,18,True
28QXFBAX1,QX,Q,144895,FBAX1,10' Wide Fastback with Arch,28,18,True
22MOFB,M,M,999999,OFB,Open Fastback,22,13,True
26LXSFB,LXS,L,51497,FB,Fastback,26,15,True
24LXSFBC,LXS,L,50254,FBC,Fastback Center-Walkthrough,24,15,True
28RSBX1,R,R,86865,SBX1,10' Wide Swingback,28,19,False
21MOFB,M,M,999999,OFB,Open Fastback,21,14,True
30QSBX2,Q,Q,83884,SBX2,Swingback,30,20,True
188SL,S,S,20012,L,L-Bench,18,13,True
25SFC,S,S,35249,FC,Fish & Cruse,25,17,True
23SL,S,S,24983,L,L-Bench,23,15,True
25SSB,S,S,36407,SB,Swingback,25,16,True
24MSL,M,M,999999,SL,Stern Lounge,24,16,True
23MSB,M,M,999999,SB,Swingback,23,12,True
25QXCWWA,QX,Q,93369,CWWA,Center Walkthrough with Windshield and Arch,25,15,False
30QXSBWAX2,QX,Q,150874,SBWAX2,10' Wide Swingback with Windshield and Arch,30,14,True
25RXSBA,RX,R,84476,SBA,Swingback with Arch,25,16,True
24RTFBA,RT,R,78624,FBA,Fastback with Arch,24,15,True
25QXCWW,QX,Q,101264,CWW,Center Walkthrough with Windshield and Arch,25,15,False
30RFBX2,R,R,114617,FBX2,10' Wide Fastback,30,21,True
168SL,S,S,17128,L,L-Bench,16,11,True
23RSB,R,R,64668,SB,Swingback,23,16,True
28RSBAX1,R,R,89897,SBAX1,10' Wide Swingback with Arch,28,20,True
25QFB,Q,Q,78640,FB,Fastback,25,16,True
23SSB,S,S,29975,SB,Swingback,23,14,True
25QSBWA,Q,Q,80423,SBWA,Swingback with Windshield and Arch,25,17,True
25QCW,Q,Q,77348,CW,Center-Walkthrough,25,0,False
25RXFBWU,RX,R,78772,FBW,Fastback with Windshield,25,17,True
25RFBWA,R,R,76689,FBWA,Fastback with Windshield and Arch,25,17,True
30QFBX2,Q,Q,124354,FBX2,10' Wide Fastback,30,21,True
25QXSBAU,QX,Q,92739,SBA,Swingback with Arch,25,15,True
25QXSBA,QX,Q,999999,SBA,Swingback with Arch,25,15,True
26MOFB,M,M,999999,OFB,Open Fastback,26,16,True
23RSBA,R,R,62301,SBA,Swingback with Arch,23,14,True
25RCW,R,R,65804,CW,Center-Walkthrough,25,18,False
25QSBWAU,Q,Q,72844,SBWA,Swingback with Windshield and Arch,25,17,True
22S1SB,S1,S,28570,SB,Swingback,22,14,True
20SL,S,S,22579,L,L-Bench,20,13,True
